MODEL turn-by-turn — Spider-13 — threshold mode (>50% lands), seed=null — LOSS in 364t
team maxHP:  Ezio=17.5k  Vergis=16.8k  Bambus=26.0k  Pelops=29.8k  Tagoar=25.3k
====================================================================================================================================
Turn | Actor  | Skill                          | bossHP | spdr |    Ezio  Vergis  Bambus  Pelops  Tagoar
------------------------------------------------------------------------------------------------------------------------------------
   1 | Ezio   | A2                             |  1060k |    8 |   17.5k   16.8k   26.0k   29.8k   25.3k
   2 | Vergis | A2                             |  1060k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
   3 | Bambus | A3                             |  1060k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
   4 | Pelops | A3                             |  1060k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
   5 | Tagoar | A2                             |  1058k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
   6 | Sp1    | basic attack                   |  1058k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
   7 | Sp2    | basic attack                   |  1058k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
   8 | Sp3    | basic attack                   |  1058k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
   9 | Sp4    | basic attack                   |  1058k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
  10 | Sp5    | basic attack                   |  1058k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
  11 | Sp6    | basic attack                   |  1058k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
  12 | Skavag | (boss turn)                    |  1055k |    4 |   17.5k   16.8k   26.0k   29.8k   25.3k
  13 | Bambus | A2                             |  1052k |    6 |   17.5k   16.8k   26.0k   29.8k   25.3k
  18 | Sp11   | basic attack                   |  1052k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
  19 | Sp12   | basic attack                   |  1052k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
  20 | Sp13   | basic attack                   |  1052k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
  21 | Sp14   | basic attack                   |  1052k |   10 |   17.5k   16.8k   26.0k   29.8k   25.3k
  22 | Skavag | (boss turn)                    |  1004k |   10 |   17.5k   10.8k   26.0k   29.8k   25.3k
  23 | Bambus | A1                             |  1004k |   10 |   17.5k   10.8k   26.0k   29.8k   25.3k
  24 | Tagoar | A1                             |  1004k |   10 |   17.5k   10.8k   26.0k   29.8k   25.3k
  25 | Vergis | A1                             |  1004k |   10 |   17.5k   10.8k   26.0k   29.8k   25.3k
  26 | Pelops | A2                             |  1004k |    9 |   17.5k   10.8k   26.0k   29.8k   25.3k
  27 | Ezio   | A3                             |  1004k |   10 |   17.5k   10.8k   26.0k   29.8k   25.3k
  28 | Sp15   | basic attack                   |  1004k |   10 |   17.5k    9.3k   26.0k   29.8k   25.3k
  29 | Sp16   | basic attack                   |  1004k |   10 |   17.5k    7.7k   26.0k   29.8k   25.3k
  30 | Sp17   | basic attack                   |  1004k |   10 |   17.5k    6.4k   26.0k   29.8k   25.3k
  31 | Sp18   | basic attack                   |  1004k |   10 |   17.5k    5.0k   26.0k   29.8k   25.3k
  32 | Sp19   | basic attack                   |  1004k |   10 |   17.5k    3.6k   26.0k   29.8k   25.3k
  33 | Sp20   | basic attack                   |  1004k |   10 |   17.5k    2.3k   26.0k   29.8k   25.3k
  34 | Bambus | A1                             |  1004k |   10 |   17.5k    2.3k   26.0k   29.8k   25.3k
  35 | Sp11   | basic attack                   |   973k |   10 |   17.5k     890   26.0k   29.8k   25.3k
  36 | Sp12   | basic attack                   |   941k |   10 |   17.5k    DEAD   26.0k   29.8k   25.3k
